MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLN_qAA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_23R;G;1.559;mm;Rejected;1;0.000;20220713;060835;OK;0.000;0.000
FR_5R;G;8.191;mm;OK;1;7.000;20220713;060838;OK;-1.500;1.500
FR_11R;G;0.518;mm;OK;1;2.000;20220713;060841;OK;-2.000;1.000
FR_12R;F;0.344;mm;Rejected;1;-0.500;20220713;060843;OK;-0.500;0.500
FR_12R;G;0.580;mm;OK;1;0.500;20220713;060843;OK;-0.500;0.500
FR_9_1R;F;0.289;mm;OK;1;0.000;20220713;060846;OK;-1.000;1.000
FR_9_1R;G;4.374;mm;OK;1;3.500;20220713;060846;OK;-1.200;1.200
FR_9_2R;F;-0.468;mm;OK;1;0.000;20220713;060848;OK;-1.000;1.000
FR_9_2R;G;3.910;mm;OK;1;3.500;20220713;060848;OK;-1.200;1.200
FR_13R;G;0.907;mm;OK;1;0.500;20220713;060853;OK;-0.500;0.500
SW_34_1R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220713;060853;OK;-1.000;1.000
SW_34_1R;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;060853;OK;-1.000;1.000
SW_34_2R;F;-0.649;mm;OK;1;0.000;20220713;060857;OK;-1.000;1.000
SW_34_2R;G;4.428;mm;OK;1;4.000;20220713;060857;OK;-1.000;1.000
FR_7R;G;0.607;mm;Rejected;1;4.000;20220713;060858;OK;-1.500;1.500
FR_6R;F;0.014;mm;OK;1;0.000;20220713;060900;OK;-0.500;0.500
FR_6R;G;0.000;mm;OK;1;0.500;20220713;060900;OK;-0.500;0.500
SW_6R;G;3.845;mm;OK;1;4.500;20220713;060913;OK;-1.200;1.200
SW_9R;F;0.097;mm;OK;1;0.000;20220713;060916;OK;-1.000;1.000
SW_9R;G;4.299;mm;OK;1;4.000;20220713;060916;OK;-1.000;1.000
SW_12R;G;3.312;mm;OK;1;4.500;20220713;060918;OK;-1.200;1.200
FL_11_1R;F;1.432;mm;Rejected;1;-0.500;20220713;060932;OK;-1.000;1.000
FL_11_1R;G;2.816;mm;OK;1;3.000;20220713;060932;OK;-1.000;1.000
FL_11_2R;F;1.890;mm;Rejected;1;-0.500;20220713;060934;OK;-1.000;1.000
FL_11_2R;G;1.784;mm;Rejected;1;3.000;20220713;060934;OK;-1.000;1.000
FL_11_3R;F;1.148;mm;Rejected;1;-0.500;20220713;060937;OK;-1.000;1.000
FL_11_3R;G;2.397;mm;OK;1;3.000;20220713;060937;OK;-1.000;1.000
FL_11_4R;F;1.408;mm;Rejected;1;-0.500;20220713;060938;OK;-1.000;1.000
FL_11_4R;G;2.289;mm;OK;1;3.000;20220713;060938;OK;-1.000;1.000
RF_26R;F;-0.788;mm;OK;1;-1.000;20220713;060942;OK;-1.000;1.000
RF_26R;G;7.172;mm;OK;1;7.000;20220713;060942;OK;-1.000;1.000
RF_27R;F;-0.540;mm;Rejected;1;0.000;20220713;060944;OK;-0.500;0.500
